user_id,user_archetype,page_name,entry_time,exit_time
16,a,/,2024-06-17 14:32:56.654845+00:00,2024-06-17 14:32:56.766498+00:00
16,a,/details,2024-06-17 14:32:56.774053+00:00,2024-06-17 14:33:24.621168+00:00
16,a,/patients,2024-06-17 14:33:24.635922+00:00,2024-06-17 14:33:30.149307+00:00
16,a,/1/,2024-06-17 14:33:30.159314+00:00,2024-06-17 14:33:34.228056+00:00
16,a,/record_hover_event/,2024-06-17 14:33:34.233775+00:00,2024-06-17 14:35:57.766084+00:00
16,a,/1/process_user_input/,2024-06-17 14:35:57.771761+00:00,2024-06-17 14:35:57.966468+00:00
16,a,/patients,2024-06-17 14:35:57.974898+00:00,2024-06-17 14:36:14.754455+00:00
16,a,/2/,2024-06-17 14:36:14.766186+00:00,2024-06-17 14:36:19.222387+00:00
16,a,/record_hover_event/,2024-06-17 14:36:19.228253+00:00,2024-06-17 14:39:41.313050+00:00
16,a,/2/process_user_input/,2024-06-17 14:39:41.318451+00:00,2024-06-17 14:39:41.528790+00:00
16,a,/patients,2024-06-17 14:39:41.537513+00:00,2024-06-17 14:39:44.870491+00:00
16,a,/3/,2024-06-17 14:39:44.881578+00:00,2024-06-17 14:39:47.232564+00:00
16,a,/record_hover_event/,2024-06-17 14:39:47.237526+00:00,2024-06-17 14:42:12.854429+00:00
16,a,/3/process_user_input/,2024-06-17 14:42:12.859468+00:00,2024-06-17 14:42:12.989017+00:00
16,a,/patients,2024-06-17 14:42:12.998155+00:00,2024-06-17 14:42:19.621567+00:00
16,a,/4/,2024-06-17 14:42:19.633926+00:00,2024-06-17 14:42:21.028580+00:00
16,a,/record_hover_event/,2024-06-17 14:42:21.034428+00:00,2024-06-17 14:43:29.735567+00:00
16,a,/4/process_user_input/,2024-06-17 14:43:29.741154+00:00,2024-06-17 14:43:29.857651+00:00
16,a,/patients,2024-06-17 14:43:29.865864+00:00,2024-06-17 14:44:37.049520+00:00
16,a,/5/,2024-06-17 14:44:37.056506+00:00,2024-06-17 14:44:38.871249+00:00
16,a,/record_hover_event/,2024-06-17 14:44:38.885107+00:00,2024-06-17 14:45:57.320623+00:00
16,a,/5/process_user_input/,2024-06-17 14:45:57.326012+00:00,2024-06-17 14:45:57.406531+00:00
16,a,/patients,2024-06-17 14:45:57.414705+00:00,2024-06-17 14:46:00.708272+00:00
16,a,/6/,2024-06-17 14:46:00.720387+00:00,2024-06-17 14:46:03.480949+00:00
16,a,/record_hover_event/,2024-06-17 14:46:03.486937+00:00,2024-06-17 14:47:05.658514+00:00
16,a,/track_link_click/,2024-06-17 14:47:05.663997+00:00,2024-06-17 14:47:05.691336+00:00
16,a,/6/prediction/,2024-06-17 14:47:05.696097+00:00,2024-06-17 14:47:08.795283+00:00
16,a,/record_hover_event/,2024-06-17 14:47:08.801008+00:00,2024-06-17 14:47:35.894396+00:00
16,a,/6/,2024-06-17 14:47:35.906537+00:00,2024-06-17 14:47:37.142344+00:00
16,a,/record_hover_event/,2024-06-17 14:47:37.147818+00:00,2024-06-17 14:49:30.460134+00:00
16,a,/6/process_user_input/,2024-06-17 14:49:30.466168+00:00,2024-06-17 14:49:30.863808+00:00
16,a,/patients,2024-06-17 14:49:30.871576+00:00,2024-06-17 14:49:37.486192+00:00
16,a,/7/,2024-06-17 14:49:37.498497+00:00,2024-06-17 14:49:40.609106+00:00
16,a,/record_hover_event/,2024-06-17 14:49:40.614401+00:00,2024-06-17 14:51:53.616040+00:00
16,a,/track_link_click/,2024-06-17 14:51:53.622218+00:00,2024-06-17 14:51:53.698029+00:00
16,a,/7/guideline/,2024-06-17 14:51:53.706344+00:00,2024-06-17 14:51:55.624237+00:00
16,a,/record_hover_event/,2024-06-17 14:51:55.636602+00:00,2024-06-17 14:53:20.413543+00:00
16,a,/7/,2024-06-17 14:53:20.422954+00:00,2024-06-17 14:53:22.561678+00:00
16,a,/record_hover_event/,2024-06-17 14:53:22.567406+00:00,2024-06-17 14:53:35.659721+00:00
16,a,/track_link_click/,2024-06-17 14:53:35.684802+00:00,2024-06-17 14:53:35.701923+00:00
16,a,/7/prediction/,2024-06-17 14:53:35.707305+00:00,2024-06-17 14:53:37.407777+00:00
16,a,/record_hover_event/,2024-06-17 14:53:37.413511+00:00,2024-06-17 14:54:01.891452+00:00
16,a,/7/,2024-06-17 14:54:01.903918+00:00,2024-06-17 14:54:03.248396+00:00
16,a,/record_hover_event/,2024-06-17 14:54:03.254429+00:00,2024-06-17 14:54:46.686174+00:00
16,a,/7/process_user_input/,2024-06-17 14:54:46.691047+00:00,2024-06-17 14:54:46.832433+00:00
16,a,/patients,2024-06-17 14:54:46.840560+00:00,2024-06-17 14:54:49.928983+00:00
16,a,/8/,2024-06-17 14:54:49.945764+00:00,2024-06-17 14:54:58.548260+00:00
16,a,/record_hover_event/,2024-06-17 14:54:58.553092+00:00,2024-06-17 14:57:24.058439+00:00
16,a,/8/process_user_input/,2024-06-17 14:57:24.063550+00:00,2024-06-17 14:57:24.165289+00:00
16,a,/patients,2024-06-17 14:57:24.172949+00:00,2024-06-17 14:57:28.054923+00:00
16,a,/9/,2024-06-17 14:57:28.067051+00:00,2024-06-17 14:57:31.597031+00:00
16,a,/record_hover_event/,2024-06-17 14:57:31.601816+00:00,2024-06-17 14:59:28.795754+00:00
16,a,/9/process_user_input/,2024-06-17 14:59:28.800474+00:00,2024-06-17 14:59:28.953071+00:00
16,a,/patients,2024-06-17 14:59:28.961464+00:00,2024-06-17 14:59:33.741247+00:00
16,a,/10/,2024-06-17 14:59:33.752929+00:00,2024-06-17 14:59:35.600516+00:00
16,a,/record_hover_event/,2024-06-17 14:59:35.606307+00:00,2024-06-17 15:01:24.433345+00:00
16,a,/track_link_click/,2024-06-17 15:01:24.438902+00:00,2024-06-17 15:01:24.457205+00:00
16,a,/10/prediction/,2024-06-17 15:01:24.463399+00:00,2024-06-17 15:01:26.447269+00:00
16,a,/record_hover_event/,2024-06-17 15:01:26.452971+00:00,2024-06-17 15:01:47.248309+00:00
16,a,/10/,2024-06-17 15:01:47.261129+00:00,2024-06-17 15:01:48.766126+00:00
16,a,/record_hover_event/,2024-06-17 15:01:48.771364+00:00,2024-06-17 15:02:35.886180+00:00
16,a,/10/process_user_input/,2024-06-17 15:02:35.892292+00:00,2024-06-17 15:02:36.098228+00:00
16,a,/patients,2024-06-17 15:02:36.106499+00:00,2024-06-17 15:02:44.289645+00:00
16,a,/11/,2024-06-17 15:02:44.301629+00:00,2024-06-17 15:02:47.583338+00:00
16,a,/record_hover_event/,2024-06-17 15:02:47.595833+00:00,2024-06-17 15:04:36.964726+00:00
16,a,/11/process_user_input/,2024-06-17 15:04:36.970150+00:00,2024-06-17 15:04:37.118312+00:00
16,a,/patients,2024-06-17 15:04:37.126626+00:00,2024-06-17 15:04:40.133948+00:00
16,a,/12/,2024-06-17 15:04:40.145525+00:00,2024-06-17 15:04:42.500138+00:00
16,a,/record_hover_event/,2024-06-17 15:04:42.506123+00:00,2024-06-17 15:07:56.076866+00:00
16,a,/12/process_user_input/,2024-06-17 15:07:56.081727+00:00,2024-06-17 15:07:56.192619+00:00
16,a,/patients,2024-06-17 15:07:56.201073+00:00,2024-06-17 15:07:58.466876+00:00
16,a,/sus,2024-06-17 15:07:58.478414+00:00,2024-06-17 15:07:58.731020+00:00
16,a,/sus/,2024-06-17 15:07:58.738565+00:00,2024-06-17 15:09:07.111074+00:00
16,a,/tam/,2024-06-17 15:09:07.122888+00:00,2024-06-17 15:14:51.778560+00:00
