user_id,user_archetype,page_name,entry_time,exit_time
demo,a,/,2024-03-13 15:52:43.778089+00:00,2024-03-13 15:52:43.805708+00:00
demo,a,/patients_demo,2024-03-13 15:52:43.810713+00:00,2024-03-13 15:52:43.852561+00:00
demo,a,/favicon.ico,2024-03-13 15:52:43.857498+00:00,2024-03-13 15:52:45.662428+00:00
demo,a,/1_demo/,2024-03-13 15:52:45.672470+00:00,2024-03-13 15:52:46.827572+00:00
demo,a,/record_hover_event/,2024-03-13 15:52:46.832653+00:00,2024-03-13 15:53:07.986090+00:00
demo,a,/track_link_click/,2024-03-13 15:53:07.991426+00:00,2024-03-13 15:53:08.009951+00:00
demo,a,/1_demo/prediction/,2024-03-13 15:53:08.014844+00:00,2024-03-13 15:53:09.416951+00:00
demo,a,/record_hover_event/,2024-03-13 15:53:09.422101+00:00,2024-03-13 15:53:23.646798+00:00
demo,a,/1_demo/,2024-03-13 15:53:23.664754+00:00,2024-03-13 15:53:25.063338+00:00
demo,a,/record_hover_event/,2024-03-13 15:53:25.068665+00:00,2024-03-13 15:53:30.087907+00:00
demo,a,/track_link_click/,2024-03-13 15:53:30.092889+00:00,2024-03-13 15:53:30.103260+00:00
demo,a,/1_demo/guideline/,2024-03-13 15:53:30.108387+00:00,2024-03-13 15:53:30.693119+00:00
demo,a,/record_hover_event/,2024-03-13 15:53:30.698196+00:00,2024-03-13 15:53:37.032142+00:00
demo,a,/track_link_click/,2024-03-13 15:53:37.039798+00:00,2024-03-13 15:53:41.380680+00:00
demo,a,/record_hover_event/,2024-03-13 15:53:41.385510+00:00,2024-03-13 15:53:45.053860+00:00
demo,a,/1_demo/,2024-03-13 15:53:45.065539+00:00,2024-03-13 15:53:45.849063+00:00
demo,a,/record_hover_event/,2024-03-13 15:53:45.853959+00:00,2024-03-13 15:53:56.490269+00:00
demo,a,/1/process_user_input_demo/,2024-03-13 15:53:56.495380+00:00,2024-03-13 15:53:56.505067+00:00
demo,a,/patients_demo,2024-03-13 15:53:56.514283+00:00,2024-03-13 15:53:58.959039+00:00
demo,a,/2_demo/,2024-03-13 15:53:58.969356+00:00,2024-03-13 15:53:59.649547+00:00
demo,a,/record_hover_event/,2024-03-13 15:53:59.654553+00:00,2024-03-13 15:54:06.997036+00:00
demo,a,/track_link_click/,2024-03-13 15:54:07.002040+00:00,2024-03-13 15:54:08.679497+00:00
demo,a,/record_hover_event/,2024-03-13 15:54:08.684847+00:00,2024-03-13 15:54:16.075483+00:00
demo,a,/2/process_user_input_demo/,2024-03-13 15:54:16.080472+00:00,2024-03-13 15:54:16.089871+00:00
demo,a,/patients_demo,2024-03-13 15:54:16.099222+00:00,2024-03-13 15:54:20.218725+00:00
demo,a,/3_demo/,2024-03-13 15:54:20.224338+00:00,2024-03-13 15:54:20.763622+00:00
demo,a,/record_hover_event/,2024-03-13 15:54:20.768748+00:00,2024-03-13 15:54:34.378743+00:00
demo,a,/track_link_click/,2024-03-13 15:54:34.383709+00:00,2024-03-13 15:54:34.396655+00:00
demo,a,/3_demo/prediction/,2024-03-13 15:54:34.401451+00:00,2024-03-13 15:54:35.024335+00:00
demo,a,/record_hover_event/,2024-03-13 15:54:35.029984+00:00,2024-03-13 15:54:48.410601+00:00
demo,a,/3_demo/,2024-03-13 15:54:48.418403+00:00,2024-03-13 15:54:48.671920+00:00
demo,a,/record_hover_event/,2024-03-13 15:54:48.677054+00:00,2024-03-13 15:54:51.717999+00:00
demo,a,/track_link_click/,2024-03-13 15:54:51.723927+00:00,2024-03-13 15:54:51.738774+00:00
demo,a,/3_demo/guideline/,2024-03-13 15:54:51.743895+00:00,2024-03-13 15:54:52.295383+00:00
demo,a,/record_hover_event/,2024-03-13 15:54:52.301463+00:00,2024-03-13 15:54:57.146920+00:00
demo,a,/track_link_click/,2024-03-13 15:54:57.151889+00:00,2024-03-13 15:55:01.042340+00:00
demo,a,/record_hover_event/,2024-03-13 15:55:01.047442+00:00,2024-03-13 15:55:02.473594+00:00
demo,a,/3_demo/,2024-03-13 15:55:02.485486+00:00,2024-03-13 15:55:02.839602+00:00
demo,a,/record_hover_event/,2024-03-13 15:55:02.844688+00:00,2024-03-13 15:55:09.735870+00:00
demo,a,/3/process_user_input_demo/,2024-03-13 15:55:09.740710+00:00,2024-03-13 15:55:09.749646+00:00
demo,a,/patients_demo,2024-03-13 15:55:09.758647+00:00,2024-03-13 15:55:12.720176+00:00
