user_id,user_archetype,patient,link_clicks,timestamp
demo,a,1,predictiondetailsLink,2024-07-02 08:57:59.344178+00:00
demo,a,1,guidelinedetailsLink,2024-07-02 08:59:16.380434+00:00
demo,a,3,predictiondetailsLink,2024-07-02 09:01:10.792851+00:00
demo,a,3,predictiondetailsLink,2024-07-02 09:04:18.954039+00:00
demo,a,1,predictiondetailsLink,2024-07-02 10:46:43.660738+00:00
demo,a,1,guidelinedetailsLink,2024-07-02 10:48:16.892532+00:00
demo,a,3,predictiondetailsLink,2024-07-02 10:50:34.057897+00:00
